ticker,filed_date,fiscal_end,surprise,seasonal_change,source_accn,source_concept
BA,2013-07-24,2013-06-30,0.4569401169778254,0.0013139177552638,0000012927-13-000035,NetIncomeLoss
AMZN,2013-07-26,2013-06-30,-0.0832121976094094,-0.0004726057455355,0001193125-13-303204,NetIncomeLoss
BAC,2013-08-01,2013-06-30,0.1920959389457655,0.0007295179247593,0000070858-13-000216,NetIncomeLoss
CAT,2013-08-02,2013-06-30,-1.0742538845768803,-0.0084577968526466,0000018230-13-000363,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2013-08-07,2013-06-30,-0.7752834777287422,-0.0075599881990428,0000093410-13-000028,NetIncomeLoss
GS,2013-08-08,2013-06-30,0.7798498398400544,0.001032547077327,0001193125-13-324664,NetIncomeLoss
COST,2013-10-16,2013-09-01,0.1580898504998347,0.0002641746194234,0001445305-13-002422,NetIncomeLoss
BA,2013-10-23,2013-09-30,0.4668694713700279,0.0013314594274724,0000012927-13-000041,NetIncomeLoss
AMZN,2013-10-25,2013-09-30,1.2758995299898344,0.0073130159128715,0001445305-13-002495,NetIncomeLoss
AAPL,2013-10-30,2013-09-28,-0.1571580949087494,-0.0034347826086956,0001193125-13-416534,NetIncomeLoss
BAC,2013-10-30,2013-09-30,0.3380328006073017,0.001014269840919,0000070858-13-000248,NetIncomeLoss
CAT,2013-11-01,2013-09-30,-1.068057731083385,-0.0086281969016408,0000018230-13-000443,NetIncomeLossAvailableToCommonStockholdersBasic
GS,2013-11-07,2013-09-30,0.0040953170546649,5.415809614795125e-06,0001193125-13-430752,NetIncomeLoss
CVX,2013-11-08,2013-09-30,-0.1251166261563285,-0.0012225728096579,0000093410-13-000045,NetIncomeLoss
COST,2013-12-20,2013-11-24,0.1494981751458997,0.0002784739626844,0000909832-13-000011,NetIncomeLoss
AAPL,2014-01-28,2013-12-28,-0.001189599463373,-2.6644877078300413e-05,0001193125-14-024487,NetIncomeLoss
AMZN,2014-01-31,2013-12-31,0.4968272804929718,0.0035359446201349,0001018724-14-000006,NetIncomeLoss
BA,2014-02-14,2013-12-31,1.0242992601457224,0.0027519074495753,0000012927-14-000004,NetIncomeLoss
CAT,2014-02-18,2013-12-31,0.4469227177734616,0.0036044101017715,0000018230-14-000058,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2014-02-21,2013-12-31,-1.5131366258784875,-0.0091230448507012,0000093410-13-000045;0000093410-14-000011,NetIncomeLoss
BAC,2014-02-25,2013-12-31,0.5647390311808271,0.001287653887007,0000070858-13-000248;0000070858-14-000012,NetIncomeLoss
GS,2014-02-28,2013-12-31,-0.4767838321667165,-0.0006143671963023,0001193125-13-430752;0001193125-14-073792,NetIncomeLoss
COST,2014-03-14,2014-02-16,-1.4276503527537094,-0.0026610910473294,0000909832-14-000008,NetIncomeLoss
BA,2014-04-23,2014-03-31,-0.5756306461938931,-0.0015397215397215,0000012927-14-000022,NetIncomeLoss
AAPL,2014-04-24,2014-03-29,0.2135835741749286,0.0032817286359951,0001193125-14-157311,NetIncomeLoss
AMZN,2014-04-25,2014-03-31,0.1010749675419491,0.0007149928500714,0001018724-14-000014,NetIncomeLoss
BAC,2014-05-01,2014-03-31,-0.3606884665860017,-0.0008181962377857,0000070858-14-000056,NetIncomeLoss
CAT,2014-05-02,2014-03-31,0.0651767090488436,0.0004976480206642,0000018230-14-000177,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2014-05-02,2014-03-31,-0.9874179997431046,-0.0064514130375854,0000093410-14-000024,NetIncomeLoss
GS,2014-05-09,2014-03-31,-0.1915210646816336,-0.000247907258659,0001193125-14-190498,NetIncomeLoss
COST,2014-06-05,2014-05-11,0.1631861831617582,0.0004281214641754,0000909832-14-000015,NetIncomeLoss
AAPL,2014-07-23,2014-06-28,0.5057294046025068,0.0038108934028401,0001193125-14-277160,NetIncomeLoss
BA,2014-07-23,2014-06-30,2.5491378166129666,0.006092498139901,0000012927-14-000042,NetIncomeLoss
AMZN,2014-07-25,2014-06-30,-0.4421296484936682,-0.0031400073882526,0001018724-14-000025,NetIncomeLoss
BAC,2014-07-29,2014-06-30,-0.347291969439849,-0.0007928840385209,0000070858-14-000088,NetIncomeLoss
CAT,2014-08-01,2014-06-30,0.0606000542197054,0.0004440547895294,0000018230-14-000285,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2014-08-06,2014-06-30,0.178349016430302,0.0011448415348508,0000093410-14-000042,NetIncomeLoss
GS,2014-08-07,2014-06-30,0.13650684571477,0.0001232681407675,0001193125-14-298671,NetIncomeLoss
COST,2014-10-15,2014-08-31,0.9050499748316232,0.002422480620155,0000909832-14-000021,NetIncomeLoss
BA,2014-10-22,2014-09-30,0.6876481810057111,0.0022017635694472,0000012927-14-000057,NetIncomeLoss
AMZN,2014-10-24,2014-09-30,-1.499741596894243,-0.0097973725228234,0001018724-14-000055,NetIncomeLoss
AAPL,2014-10-27,2014-09-27,0.6103190458181951,0.0041192379194182,0001193125-14-383437,NetIncomeLoss
CAT,2014-10-31,2014-09-30,0.1328471645113292,0.0008403560268913,0000018230-14-000386,NetIncomeLossAvailableToCommonStockholdersBasic
GS,2014-11-05,2014-09-30,0.9947843383994308,0.0008332057822639,0001193125-14-396758,NetIncomeLoss
BAC,2014-11-06,2014-09-30,-0.9770584499509828,-0.001285074069522,0000070858-14-000139,NetIncomeLoss
CVX,2014-11-07,2014-09-30,0.3645192400830674,0.0024224751441994,0000093410-14-000049,NetIncomeLoss
COST,2014-12-18,2014-11-23,0.8530508406163344,0.0020512524196111,0000909832-14-000026,NetIncomeLoss
AAPL,2015-01-28,2014-12-27,3.223418531470498,0.0189084133275294,0001193125-15-023697,NetIncomeLoss
AMZN,2015-01-30,2014-12-31,-0.0901218161349425,-0.0004586735161911,0001018724-15-000006,NetIncomeLoss
BA,2015-02-12,2014-12-31,0.7427710296449569,0.0023488376781789,0000012927-15-000011,NetIncomeLoss
CAT,2015-02-17,2014-12-31,-0.5334924574470047,-0.0029050200162964,0000018230-15-000061,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2015-02-20,2014-12-31,-0.9099205059462456,-0.005484426334268,0000093410-14-000049;0000093410-15-000010,NetIncomeLoss
GS,2015-02-23,2014-12-31,-0.2315141816939142,-0.0001938708773241,0001193125-14-396758;0001193125-15-056785,NetIncomeLoss
BAC,2015-02-25,2014-12-31,-0.1898069318160212,-0.0001848390189942,0000070858-14-000139;0000070858-15-000008,NetIncomeLoss
COST,2015-03-11,2015-02-15,1.739320197374904,0.0040178571428571,0000909832-15-000003,NetIncomeLoss
BA,2015-04-22,2015-03-31,1.8062899449559555,0.0037944259780107,0000012927-15-000019,NetIncomeLoss
AMZN,2015-04-24,2015-03-31,-0.6615849432035866,-0.0032950574138791,0001018724-15-000038,NetIncomeLoss
AAPL,2015-04-28,2015-03-28,1.3692519295663577,0.0128104014640458,0001193125-15-153166,NetIncomeLoss
BAC,2015-04-29,2015-03-31,1.781656630696255,0.0016948559512396,0000070858-15-000048,NetIncomeLoss
CAT,2015-05-01,2015-03-31,0.4673623279101349,0.0022911868105224,0000018230-15-000161,NetIncomeLossAvailableToCommonStockholdersBasic
GS,2015-05-05,2015-03-31,1.7000420292441718,0.0009370760915029,0001193125-15-169551,NetIncomeLoss
CVX,2015-05-07,2015-03-31,-1.6891217203670783,-0.0072142846545303,0000093410-15-000020,NetIncomeLoss
COST,2015-06-04,2015-05-10,0.6319826781496721,0.0012839270251709,0000909832-15-000008,NetIncomeLoss
AAPL,2015-07-22,2015-06-27,1.2020377530984094,0.0107230066886081,0001193125-15-259935,NetIncomeLoss
BA,2015-07-22,2015-06-30,-2.530725534851596,-0.0055350553505535,0000012927-15-000055,NetIncomeLoss
AMZN,2015-07-24,2015-06-30,0.8204496574228081,0.0041571319603356,0001018724-15-000087,NetIncomeLoss
BAC,2015-07-29,2015-06-30,1.261617700286015,0.0014094704876702,0000070858-15-000078,NetIncomeLoss
CAT,2015-07-31,2015-06-30,-0.7471101325310097,-0.0035140196006906,0000018230-15-000266,NetIncomeLossAvailableToCommonStockholdersBasic
GS,2015-08-03,2015-06-30,-1.8551731984930424,-0.0011501618250939,0001193125-15-273233,NetIncomeLoss
CVX,2015-08-05,2015-06-30,-4.3922002289560576,-0.0191176746542568,0000093410-15-000031,NetIncomeLoss
COST,2015-10-14,2015-08-30,1.0637232752028112,0.0020933014354066,0000909832-15-000014,NetIncomeLoss
BA,2015-10-21,2015-09-30,0.9751218096898768,0.0034546152447524,0000012927-15-000068,NetIncomeLoss
AMZN,2015-10-23,2015-09-30,1.7143239813240485,0.0091765961230659,0001018724-15-000126,NetIncomeLoss
AAPL,2015-10-28,2015-09-26,1.248433721348422,0.0091469607097242,0001193125-15-356351,NetIncomeLoss
BAC,2015-10-30,2015-09-30,1.8555844748916177,0.0022015730564615,0000070858-15-000103,NetIncomeLoss
CAT,2015-10-30,2015-09-30,-2.0938890131342327,-0.0082184148210057,0000018230-15-000324,NetIncomeLossAvailableToCommonStockholdersBasic
GS,2015-11-03,2015-09-30,-1.332917656028488,-0.0009255484300313,0001193125-15-362853,NetIncomeLoss
CVX,2015-11-06,2015-09-30,-1.936642247225462,-0.0132464639465969,0000093410-15-000038,NetIncomeLoss
COST,2015-12-18,2015-11-22,-0.2285169733700254,-0.0004513271840004,0000909832-15-000017,NetIncomeLoss
AAPL,2016-01-27,2015-12-26,0.1850246848118812,0.00114905688684,0001193125-16-439878,NetIncomeLoss
AMZN,2016-01-29,2015-12-31,0.7123699437859693,0.004095104211234,0001018724-16-000172,NetIncomeLoss
BA,2016-02-10,2015-12-31,-1.2899313520094156,-0.004660621981188,0000012927-16-000099,NetIncomeLoss
CAT,2016-02-16,2015-12-31,-2.821290031409091,-0.0107520032612711,0000018230-16-000410,NetIncomeLossAvailableToCommonStockholdersBasic
GS,2016-02-22,2015-12-31,-2.137751616773208,-0.0016264315441812,0001193125-15-362853;0001193125-16-470289,NetIncomeLoss
BAC,2016-02-24,2015-12-31,-0.1196439011790977,-0.0001618231641231,0000070858-15-000103;0000070858-16-000137,NetIncomeLoss
CVX,2016-02-25,2015-12-31,-2.163403336659521,-0.0152534920688605,0000093410-15-000038;0000093410-16-000049,NetIncomeLoss
COST,2016-03-09,2016-02-14,-0.7864542973089733,-0.0016055329134247,0000909832-16-000023,NetIncomeLoss
AAPL,2016-04-27,2016-03-26,-1.6645813754873144,-0.0100007534141124,0001193125-16-559625,NetIncomeLoss
BA,2016-04-27,2016-03-31,-0.3038922548341803,-0.0012780320491113,0000012927-16-000113,NetIncomeLoss
AMZN,2016-04-29,2016-03-31,1.607894292359574,0.0093246957204554,0001018724-16-000227,NetIncomeLoss
BAC,2016-05-02,2016-03-31,-0.1446243375719956,-0.0001908031945121,0000070858-16-000166,NetIncomeLoss
CAT,2016-05-02,2016-03-31,-2.655821927206216,-0.0124382239135709,0000018230-16-000512,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2016-05-05,2016-03-31,-1.6398250181187128,-0.0124771643635205,0000093410-16-000056,NetIncomeLoss
GS,2016-05-06,2016-03-31,-2.123982379295854,-0.0019463894418907,0001193125-16-580382,NetIncomeLoss
COST,2016-06-01,2016-05-08,0.481758336947404,0.000856139107844,0000909832-16-000028,NetIncomeLoss
AAPL,2016-07-27,2016-06-25,-1.0811665656850211,-0.00942729432399,0001628280-16-017809,NetIncomeLoss
BA,2016-07-27,2016-06-30,-3.583023963892037,-0.0149984934548985,0000012927-16-000143,NetIncomeLoss
AMZN,2016-07-29,2016-06-30,1.7679895555516134,0.0117554858934169,0001018724-16-000286,NetIncomeLoss
BAC,2016-08-01,2016-06-30,-0.3264381776962903,-0.0004125108787167,0000070858-16-000200,NetIncomeLoss
CAT,2016-08-03,2016-06-30,-0.5765183146813025,-0.0032183908045977,0000018230-16-000630,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2016-08-04,2016-06-30,-1.0082140843531695,-0.0078056280069451,0000093410-16-000070,NetIncomeLoss
GS,2016-08-04,2016-06-30,0.79308194784496,0.0008630273080126,0001193125-16-670394,NetIncomeLoss
COST,2016-10-12,2016-08-28,0.2062880395037021,0.0003618490486385,0000909832-16-000032,NetIncomeLoss
AAPL,2016-10-26,2016-09-24,-0.6326896971812698,-0.0065591912610433,0001628280-16-020309,NetIncomeLoss
BA,2016-10-26,2016-09-30,1.0065211298947736,0.0064643057897695,0000012927-16-000153,NetIncomeLoss
AMZN,2016-10-28,2016-09-30,0.3344625882760315,0.0024401596682511,0001018724-16-000324,NetIncomeLoss
BAC,2016-11-01,2016-09-30,0.1252922135015676,0.0001530532762055,0000070858-16-000222,NetIncomeLoss
CAT,2016-11-02,2016-09-30,-0.6839683669898119,-0.0036124708777257,0000018230-16-000715,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2016-11-03,2016-09-30,-0.4330328396192366,-0.0029015288825265,0000093410-16-000083,NetIncomeLoss
GOOGL,2016-11-03,2016-09-30,2.3392233083126386,0.0067646985270212,0001652044-16-000038,NetIncomeLoss
GS,2016-11-03,2016-09-30,0.645499923788854,0.0007591021230995,0001193125-16-757421,NetIncomeLoss
COST,2016-12-16,2016-11-20,1.0330420570300125,0.0017792620168619,0000909832-16-000040,NetIncomeLoss
AAPL,2017-02-01,2016-12-31,-0.127749781394079,-0.0014193349660718,0001628280-17-000717,NetIncomeLoss
GOOGL,2017-02-03,2016-12-31,0.9437921943838185,0.002447805035314,0001652044-16-000038;0001652044-17-000008,NetIncomeLoss
BA,2017-02-08,2016-12-31,0.9659463930902832,0.0067224463037656,0000012927-17-000006,NetIncomeLoss
AMZN,2017-02-10,2016-12-31,0.6185825646377376,0.003201362077648,0001018724-17-000011,NetIncomeLoss
CAT,2017-02-15,2016-12-31,-2.98828982425477,-0.0144168986935103,0000018230-17-000041,NetIncomeLossAvailableToCommonStockholdersBasic
BAC,2017-02-23,2016-12-31,0.6254175312737336,0.0006454261137942,0000070858-16-000222;0000070858-17-000013,NetIncomeLoss
CVX,2017-02-23,2016-12-31,0.7053992513016399,0.0038565353470881,0000093410-16-000083;0000093410-17-000013,NetIncomeLoss
GS,2017-02-27,2016-12-31,1.5785328826523732,0.0018391820174036,0001193125-16-757421;0001193125-17-056804,NetIncomeLoss
COST,2017-03-09,2017-02-12,-0.5109173023069669,-0.000870053325849,0000909832-17-000004,NetIncomeLoss
BA,2017-04-26,2017-03-31,0.347637145697646,0.002587177857326,0000012927-17-000024,NetIncomeLoss
AMZN,2017-04-28,2017-03-31,0.5420013734334832,0.0026059356049846,0001018724-17-000051,NetIncomeLoss
BAC,2017-05-02,2017-03-31,0.6240239796322387,0.0006157402608265,0000070858-17-000025,NetIncomeLoss
GOOGL,2017-05-02,2017-03-31,2.668091303696217,0.007056194864433,0001652044-17-000014,NetIncomeLoss
AAPL,2017-05-03,2017-04-01,0.1666317137757504,0.0015334855858333,0001628280-17-004790,NetIncomeLoss
CAT,2017-05-03,2017-03-31,-0.1801492108439225,-0.0010187107506221,0000018230-17-000145,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2017-05-04,2017-03-31,1.789063650742869,0.0131488049523177,0000093410-17-000019,NetIncomeLoss
GS,2017-05-04,2017-03-31,0.8858044869487163,0.0012526997357027,0001193125-17-156659,NetIncomeLoss
COST,2017-06-01,2017-05-07,3.3069749840415827,0.0043501445370604,0000909832-17-000009,NetIncomeLoss
GOOGL,2017-07-25,2017-06-30,-2.9920246653021545,-0.0075746972640395,0001652044-17-000026,NetIncomeLoss
BA,2017-07-26,2017-06-30,3.0153191732655955,0.0221578035452485,0000012927-17-000044,NetIncomeLoss
AMZN,2017-07-28,2017-06-30,-2.061374905133176,-0.0075187113384445,0001018724-17-000100,NetIncomeLoss
BAC,2017-07-31,2017-06-30,0.2406486347901399,0.0002155660894137,0000070858-17-000037,NetIncomeLoss
AAPL,2017-08-02,2017-07-01,0.3391376806603218,0.0026682272367769,0000320193-17-000009,NetIncomeLoss
CAT,2017-08-02,2017-06-30,0.6444028607626754,0.0032097821933511,0000018230-17-000245,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2017-08-03,2017-06-30,1.056669698687845,0.0114690159819952,0000093410-17-000033,NetIncomeLoss
GS,2017-08-04,2017-06-30,0.0068331758077674,9.928098504387116e-06,0001193125-17-247803,NetIncomeLoss
COST,2017-10-18,2017-09-03,2.015311716603251,0.0038517621811978,0000909832-17-000014,NetIncomeLoss
BA,2017-10-25,2017-09-30,-0.4398992572478734,-0.0046809586075796,0000012927-17-000073,NetIncomeLoss
AMZN,2017-10-27,2017-09-30,0.0057857984999848,3.470203961237822e-05,0001018724-17-000135,NetIncomeLoss
GOOGL,2017-10-27,2017-09-30,1.718990101645158,0.0088162670943778,0001652044-17-000042,NetIncomeLoss
BAC,2017-10-30,2017-09-30,0.3352179680887484,0.0002767201308641,0000070858-17-000046,NetIncomeLoss
CAT,2017-11-01,2017-09-30,1.614240559658121,0.0098778004073319,0000018230-17-000305,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2017-11-02,2017-09-30,0.2331628161119023,0.0026218843078852,0000093410-17-000046,NetIncomeLoss
